編號,選項名稱,影響股票數值,結果文字,Result,AudioID,備註
E01-A,提前放空<color=yellow>納克</color>,"[NARC,-6],[BYTE,+3]",你在報告曝光前大量放空，<color=yellow>納克</color>崩盤，<color=yellow>資安</color>公司接手善後業務。,"NarcPharma crashes, ByteSec profits from cleanup.",E01-A-Result,主打NARC下跌
E01-B,買通記者壓新聞,"[NARC,+2],[LOCK,-3]",記者被收買，試驗醜聞暫時壓下。<color=yellow>納克</color>穩住，但你欠了<color=yellow>軍方</color>人情。,"Story buried, NarcPharma stabilizes for now.",,穩住NARC
E01-C,把情報賣給<color=yellow>拜特</color>,"[BYTE,+7],[NARC,-4]",<color=yellow>拜特資安</color>拿到數據後開發了醫療<color=yellow>駭客</color>工具，大賺一筆。,ByteSec weaponizes the leaked clinical data.,,主打BYTE上漲
E02-A,搶先通知<color=yellow>洛克</color>,"[LOCK,+9],[NARC,-1]",<color=yellow>洛克防務</color>提前佈局拿下標案，<color=yellow>製藥</color>預算被擠壓。,"LockDefense wins bid, pharma budget slashed.",,主打LOCK上漲
E02-B,兩邊賣情報,"[LOCK,+3],[BYTE,+2],[NARC,-4]",你把消息同時賣給兩家，大家都有甜頭，只有<color=yellow>納克</color>被犧牲。,"Intel sold to both sides, everyone gains slightly.",,平均獲利
E02-C,自己圍標,"[LOCK,-8],[BYTE,+1],[NARC,+3]",你試圖自己圍標但被抓包，<color=yellow>洛克防務</color>信譽受損，其他人趁亂獲利。,"Bid-rigging exposed, LockDefense credibility tanks.",,主打LOCK下跌
E03-A,大量囤貨再轉賣,"[NARC,+10],[LOCK,-2]",你搶在促銷前掃光庫存再高價轉賣，<color=yellow>製藥</color>行情暴漲。<color=yellow>軍火</color>乏人問津。,"Drug stockpile sold at premium, pharma booms.",,主打NARC上漲
E03-B,舉報<color=yellow>藥局</color>換獎金,"[NARC,-5],[BYTE,+4],[LOCK,+1]",你向執法單位檢舉換取獎金，<color=yellow>藥局</color>被抄，<color=yellow>製藥</color>管道斷裂。,"Dark pharmacy raided, drug supply collapses.",,主打NARC下跌
E03-C,跟<color=yellow>藥局</color>合作抽成,"[NARC,+2],[BYTE,+3]",你跟<color=yellow>藥局</color>談好抽成合作，雙方穩定獲利，用加密通訊交易。,Partnership deal with dark pharmacy secured.,,穩定小漲
E04-A,賣給最高出價者,"[BYTE,-9],[LOCK,+1],[NARC,+4]",漏洞被公開利用，<color=yellow>拜特資安</color>信譽崩盤。實體交易需求回升。,"Zero-day exploit goes public, ByteSec collapses.",,主打BYTE下跌
E04-B,私下勒索<color=yellow>拜特</color>,"[BYTE,-3]",你私下要求<color=yellow>拜特</color>付封口費，他們付了但規模不大。,"ByteSec pays hush money, minimal market impact.",,小幅影響
E04-C,自己用來攻擊對手,"[BYTE,+2],[LOCK,-6]",你用漏洞癱瘓了<color=yellow>洛克</color>的通訊系統，<color=yellow>拜特</color>反而因此接到防禦訂單。,"Hack cripples LockDefense, ByteSec gets contracts.",,主打LOCK下跌
E05-A,賣<color=yellow>武器</color>給雙方,"[LOCK,-4],[NARC,+8]",<color=yellow>傭兵</color>內戰升級，傷亡慘重，你趁機高價賣急救<color=yellow>藥品</color>。,"Arms sold to both factions, medical demand spikes.",,主打NARC上漲
E05-B,幫一方收拾另一方,"[LOCK,+7],[BYTE,-2]",你幫贏的那邊鎮壓叛亂，<color=yellow>洛克</color>重新整合。但你被監控系統拍到了。,"Mutiny crushed, LockDefense consolidates power.",,主打LOCK上漲
E05-C,散佈<color=yellow>網路</color>假消息擴大內亂,"[LOCK,-10],[BYTE,+5]",你用深偽影片煽動雙方，<color=yellow>洛克</color>徹底分裂。<color=yellow>拜特</color>的假消息服務大受歡迎。,Deepfake propaganda splits LockDefense apart.,,LOCK跌BYTE漲
E06-A,全額投入各公司,"[NARC,+7],[LOCK,+7],[BYTE,+7]",洗錢通道順利運作，三大產業資金流通加速，全面小漲。,Money laundering channel fully operational.,,三支均漲
E06-B,只投一半留後路,"[NARC,+3],[LOCK,+3],[BYTE,+3]",你保守投入，通道規模較小但穩定運作。,"Partial investment, channel runs at half capacity.",,兩支小漲
E06-C,舉報通道換政治籌碼,"[NARC,-6],[LOCK,-6],[BYTE,-6]",你把洗錢通道賣給政府，換到免罪權。實體黑市重創。,"Channel exposed, physical black market devastated.",,兩支大跌
E07-A,派人消除威脅,"[LOCK,+6],[NARC,-2]",吹哨者「意外失蹤」，<color=yellow>洛克</color>安然無恙。但你欠了殺手一個人情。,"Whistleblower vanishes, LockDefense stock saved.",,主打LOCK上漲
E07-B,搶先公開洗白,"[LOCK,-1]",你建議<color=yellow>洛克</color>自己先公開部分資訊做危機公關，損失控制在最小。,Controlled leak minimizes damage to LockDefense.,,小幅波動
E07-C,把資料賣給競爭對手,"[LOCK,-5],[BYTE,+8],[NARC,+3]",你把黑資料賣給<color=yellow>拜特</color>，他們做成勒索工具。<color=yellow>洛克</color>名譽掃地。,"Data sold to ByteSec, LockDefense reputation ruined.",,LOCK跌BYTE漲
E08-A,用於金融詐騙,"[BYTE,+10],[NARC,-1]",深偽CEO影片騙過投資人，<color=yellow>拜特</color>獲利豐厚。<color=yellow>製藥</color>產業成了詐騙目標。,Deepfake CEO scam nets millions for ByteSec.,,主打BYTE上漲
E08-B,賣給<color=yellow>軍方</color>做心理戰,"[LOCK,+6],[BYTE,+2]",<color=yellow>洛克防務</color>買下技術用於戰場心理作戰，雙方都有利潤。,Military buys deepfake tech for psyops.,,主打LOCK上漲
E08-C,開源釋出製造混亂,"[BYTE,-7],[NARC,+3],[LOCK,+4]",你把技術免費開源，市場上人人都有深偽工具，<color=yellow>拜特</color>的獨家優勢消失。,"Tech goes open-source, ByteSec loses edge.",,主打BYTE下跌
E09-A,大筆投資當股東,"[NARC,+9],[LOCK,+1]",診所擴張成功，<color=yellow>藥品</color>需求暴增，<color=yellow>保全</color>服務也跟著水漲船高。,"Underground clinics boom, drug demand surges.",,主打NARC上漲
E09-B,只提供<color=yellow>藥品</color>供應,"[NARC,+2],[BYTE,-3]",你當供應商抽成，風險小利潤穩定，但規模有限。,"Drug supply deal secured, steady returns.",,穩定小漲
E09-C,拒絕並舉報搶地盤,"[NARC,-8],[LOCK,+1]",你把對手的計畫洩漏給當局，趁機搶佔他們的客源。,"Rival clinic reported, market share seized.",,主打NARC下跌
E10-A,入股劫持計畫,"[BYTE,+5],[LOCK,-10]",衛星被成功劫持，<color=yellow>洛克</color>無人機全數失聯。<color=yellow>拜特</color>公開叫賣存取權限。,"Satellite hijacked, LockDefense drones grounded.",,BYTE漲LOCK跌
E10-B,通知<color=yellow>洛克防務</color>換取回報,"[LOCK,+7],[BYTE,-6]",你把計畫洩漏給<color=yellow>洛克</color>，他們反制成功並追殺<color=yellow>駭客</color>。<color=yellow>拜特</color>勢力受挫。,"LockDefense counters hack, ByteSec network exposed.",,LOCK漲BYTE跌
E10-C,兩邊都不幫坐收漁利,"[NARC,+3],[LOCK,-2],[BYTE,-1]",雙方鬥到兩敗俱傷，你趁亂在<color=yellow>藥品</color>市場撿便宜。,"Both sides weakened, pharma picks up scraps.",,NARC小漲其餘跌